[2025-11-22 23:41:49] REGISTER | User ID: 3 | Username: om@gmail.com | IP: ::1 | Details:  | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 12:29:41] REGISTER | User ID: 4 | Username: MO@gmail.com | IP: ::1 | Details:  | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 12:32:36] REGISTER | User ID: 5 | Username: MOMO@gmail.com | IP: ::1 | Details:  | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 12:32:36] SUCCESS_LOGIN | User ID:  | Username:  | IP: ::1 | Details: Login successful | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 12:38:16] REGISTER | User ID: 6 | Username: IV@gmail.com | IP: ::1 | Details:  | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 12:39:11] REGISTER | User ID: 7 | Username: IV@gmail.com | IP: ::1 | Details:  | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 13:18:04] FAILED_LOGIN | User ID: 0 | Username: MOMO@gmail.com | IP: ::1 | Details: Invalid credentials | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 13:18:13] FAILED_LOGIN | User ID: 0 | Username: MOMO@gmail.com | IP: ::1 | Details: Invalid credentials | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 13:34:37] FAILED_LOGIN | User ID: 0 | Username: MOMO@gmail.com | IP: ::1 | Details: Invalid credentials | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 13:35:53] FAILED_LOGIN | User ID: 0 | Username: MOMO@gmail.com | IP: ::1 | Details: Invalid credentials | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 13:54:13] LOGIN | User ID: 5 | Username: MOMO@gmail.com | IP: ::1 | Details:  | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 14:02:10] LOGIN | User ID: 5 | Username: MOMO@gmail.com | IP: ::1 | Details:  | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 14:18:46] LOGIN | User ID: 5 | Username: MOMO@gmail.com | IP: ::1 | Details:  | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 14:20:57] LOGIN | User ID: 5 | Username: MOMO@gmail.com | IP: ::1 | Details:  | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 15:11:43] LOGIN | User ID: 5 | Username: MOMO@gmail.com | IP: ::1 | Details:  | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 15:12:30] LOGIN | User ID: 5 | Username: MOMO@gmail.com | IP: ::1 | Details:  | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[2025-11-29 15:19:10] LOGIN | User ID: 5 | Username: MOMO@gmail.com | IP: ::1 | Details:  | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
